2024-12-30T14:57:11
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061624.8861662 7001289F:109:CB97UANXX:2:1316:3050:44237/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861663 7001289F:109:CB97UANXX:2:1316:5767:58150/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861664 7001289F:109:CB97UANXX:2:1308:20224:17579/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861666 7001289F:109:CB97UANXX:2:2212:5773:39268/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861673 7001289F:109:CB97UANXX:2:2111:1270:25392/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861677 7001289F:109:CB97UANXX:2:1314:3776:58922/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861678 7001289F:109:CB97UANXX:2:1307:11559:3773/1	R1	+	-	+	-	0.320388	0.320388
ERR2061624.8861679 7001289F:109:CB97UANXX:2:1204:14391:13189/1	R1	+	-	+	-	0.673469	0.673469
ERR2061624.8861680 7001289F:109:CB97UANXX:2:1110:19731:100458/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861681 7001289F:109:CB97UANXX:2:1208:17543:63281/1	R1	+	-	+	-	0.345455	0.345455
ERR2061624.8861682 7001289F:109:CB97UANXX:2:1107:10591:42172/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861684 7001289F:109:CB97UANXX:2:2302:21247:75455/1	R1	+	-	+	-	0.673469	0.673469
ERR2061624.8861685 7001289F:109:CB97UANXX:2:2303:9870:3744/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861687 7001289F:109:CB97UANXX:2:2306:4542:81571/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861688 7001289F:109:CB97UANXX:2:2316:4368:25311/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861689 7001289F:109:CB97UANXX:2:1213:11237:76627/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861690 7001289F:109:CB97UANXX:2:2101:17782:65645/1	R1	+	-	+	-	0.345455	0.345455
ERR2061624.8861692 7001289F:109:CB97UANXX:2:1307:18764:30170/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861694 7001289F:109:CB97UANXX:2:2115:13347:64509/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861696 7001289F:109:CB97UANXX:2:1116:11237:76373/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861703 7001289F:109:CB97UANXX:2:2215:13919:93977/1	R1	+	-	+	-	0.435294	0.435294
ERR2061624.8861704 7001289F:109:CB97UANXX:2:2216:6211:78103/1	R1	+	-	+	-	0.670213	0.670213
ERR2061624.8861705 7001289F:109:CB97UANXX:2:1104:1733:8430/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861709 7001289F:109:CB97UANXX:2:1116:19534:40183/1	R1	+	-	+	-	0.590361	0.590361
ERR2061624.8861710 7001289F:109:CB97UANXX:2:2306:8158:86190/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861711 7001289F:109:CB97UANXX:2:2311:11289:65641/1	R1	+	-	+	-	0.600000	0.600000
ERR2061624.8861713 7001289F:109:CB97UANXX:2:2213:3813:92722/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861714 7001289F:109:CB97UANXX:2:2113:9415:78148/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861715 7001289F:109:CB97UANXX:2:2108:15389:20489/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8861717 7001289F:109:CB97UANXX:2:2215:18954:5745/1	R1	+	-	+	-	0.636364	0.636364
ERR2061624.8861723 7001289F:109:CB97UANXX:2:1305:20038:50749/1	R1	+	-	+	-	0.388235	0.388235
ERR2061624.8861725 7001289F:109:CB97UANXX:2:1105:11585:51602/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861726 7001289F:109:CB97UANXX:2:2305:10385:38978/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861727 7001289F:109:CB97UANXX:2:2306:5734:25280/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861728 7001289F:109:CB97UANXX:2:1106:3411:76292/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861729 7001289F:109:CB97UANXX:2:2312:16199:26861/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861732 7001289F:109:CB97UANXX:2:2112:10954:84800/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861735 7001289F:109:CB97UANXX:2:2206:9483:100379/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861737 7001289F:109:CB97UANXX:2:1302:8389:5124/1	R1	+	-	+	-	0.639640	0.639640
ERR2061624.8861738 7001289F:109:CB97UANXX:2:1216:8394:15329/1	R1	+	-	+	-	0.961538	0.961538
ERR2061624.8861740 7001289F:109:CB97UANXX:2:1108:6354:79006/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861741 7001289F:109:CB97UANXX:2:1309:3091:34518/1	R1	+	-	+	-	0.471698	0.471698
ERR2061624.8861742 7001289F:109:CB97UANXX:2:2116:13629:67066/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861744 7001289F:109:CB97UANXX:2:1202:3721:50913/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861745 7001289F:109:CB97UANXX:2:2316:11650:70689/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861747 7001289F:109:CB97UANXX:2:2110:19407:73257/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861748 7001289F:109:CB97UANXX:2:1305:1175:30441/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861749 7001289F:109:CB97UANXX:2:2211:5999:61415/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861751 7001289F:109:CB97UANXX:2:1303:20721:93453/1	R1	+	-	+	-	0.128205	0.128205
ERR2061624.8861752 7001289F:109:CB97UANXX:2:1201:19419:24957/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861753 7001289F:109:CB97UANXX:2:2303:11219:56002/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861754 7001289F:109:CB97UANXX:2:1301:3799:67133/1	R1	+	-	+	-	0.000000	0.000000
