2022-07-14T09:07:58
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061620.7209309 7001289F:103:C9WFLANXX:4:2313:10215:11151/1	R1	+	-	-	-	0.672897	-
ERR2061620.7209310 7001289F:103:C9WFLANXX:4:2312:3676:57439/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209311 7001289F:103:C9WFLANXX:4:2207:16512:79525/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209312 7001289F:103:C9WFLANXX:4:2204:20460:42679/2	R2	-	-	+	-	-	0.471698
ERR2061620.7209313 7001289F:103:C9WFLANXX:4:1302:3715:11223/2	R2	-	-	+	-	-	0.471698
ERR2061620.7209314 7001289F:103:C9WFLANXX:4:1203:1821:60946/2	R2	-	-	+	-	-	0.457944
ERR2061620.7209315 7001289F:109:CB97UANXX:1:1105:7629:14617/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209316 7001289F:109:CB97UANXX:1:2314:10371:25517/2	R2	-	-	+	-	-	0.320388
ERR2061620.7209317 7001289F:109:CB97UANXX:1:2211:18189:69597/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209318 7001289F:109:CB97UANXX:1:2202:8867:14939/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209319 7001289F:109:CB97UANXX:1:2101:7529:27221/2	R2	-	-	+	-	-	0.457944
ERR2061620.7209320 7001289F:109:CB97UANXX:1:2208:7688:82406/1	R1	+	-	-	-	0.457944	-
ERR2061620.7209321 7001289F:109:CB97UANXX:1:1312:3907:47295/1	R1	+	-	-	-	0.457944	-
ERR2061620.7209322 7001289F:109:CB97UANXX:1:1301:14352:46960/1	R1	+	-	-	-	0.365385	-
ERR2061620.7209323 7001289F:109:CB97UANXX:1:2106:10751:66179/1	R1	+	-	-	-	0.781250	-
ERR2061620.7209324 7001289F:109:CB97UANXX:1:2302:8963:39771/1	R1	+	-	-	-	0.471698	-
ERR2061620.7209325 7001289F:109:CB97UANXX:1:1115:9167:15708/2	R2	-	-	+	-	-	0.457944
ERR2061620.7209326 7001289F:109:CB97UANXX:1:2306:9055:89362/2	R2	-	-	+	-	-	0.471698
ERR2061620.7209327 7001289F:103:C9WFLANXX:3:2202:8769:94585/2	R2	-	-	+	-	-	0.413043
ERR2061620.7209328 7001289F:103:C9WFLANXX:3:2101:6084:13974/2	R2	-	-	+	-	-	0.457944
ERR2061620.7209329 7001289F:103:C9WFLANXX:3:1211:20857:69901/2	R2	-	-	+	-	-	0.457944
ERR2061620.7209330 7001289F:103:C9WFLANXX:3:1213:11549:11491/2	R2	-	-	+	-	-	0.302752
ERR2061620.7209331 7001289F:103:C9WFLANXX:4:2102:2484:10019/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209332 7001289F:103:C9WFLANXX:4:1307:7092:32854/2	R2	-	-	+	-	-	0.528302
ERR2061620.7209333 7001289F:103:C9WFLANXX:4:1312:20741:74781/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209334 7001289F:103:C9WFLANXX:4:1102:3101:40187/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209335 7001289F:109:CB97UANXX:1:1107:6171:38629/1	R1	+	-	-	-	0.471698	-
ERR2061620.7209336 7001289F:109:CB97UANXX:1:2111:20401:94090/2	R2	-	-	+	-	-	0.227273
ERR2061620.7209337 7001289F:109:CB97UANXX:1:2303:14027:88949/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209338 7001289F:109:CB97UANXX:1:2306:17373:72442/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209339 7001289F:109:CB97UANXX:1:1116:6058:69429/1	R1	+	-	-	-	0.471698	-
ERR2061620.7209341 7001289F:103:C9WFLANXX:3:1104:9184:16888/1	R1	+	-	-	-	0.345455	-
ERR2061620.7209342 7001289F:103:C9WFLANXX:3:2115:19847:20658/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209343 7001289F:103:C9WFLANXX:3:1311:6508:84830/1	R1	+	-	-	-	0.345455	-
ERR2061620.7209344 7001289F:103:C9WFLANXX:3:1313:10566:33950/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209345 7001289F:103:C9WFLANXX:4:2304:10873:29926/1	R1	+	-	-	-	0.302752	-
ERR2061620.7209346 7001289F:103:C9WFLANXX:4:2109:14557:3331/1	R1	+	-	-	-	0.302752	-
ERR2061620.7209347 7001289F:103:C9WFLANXX:4:2103:11522:62215/2	R2	-	-	+	-	-	0.403846
ERR2061620.7209348 7001289F:103:C9WFLANXX:4:2208:7029:97387/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209349 7001289F:103:C9WFLANXX:4:2107:11957:92859/1	R1	+	-	-	-	0.302752	-
ERR2061620.7209350 7001289F:103:C9WFLANXX:4:1114:11579:90787/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209351 7001289F:103:C9WFLANXX:4:1104:13252:74665/1	R1	+	-	-	-	0.545455	-
ERR2061620.7209352 7001289F:109:CB97UANXX:1:2311:9018:71192/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209353 7001289F:109:CB97UANXX:1:2212:4531:39864/2	R2	-	-	+	-	-	0.362637
ERR2061620.7209355 7001289F:109:CB97UANXX:1:2106:20133:38415/1	R1	-	+	+	-	0.057851	0.457944
ERR2061620.7209356 7001289F:109:CB97UANXX:1:1315:19959:22265/1	R1	+	-	-	-	0.534653	-
ERR2061620.7209357 7001289F:109:CB97UANXX:1:1314:8044:74511/1	R1	+	-	-	-	0.302752	-
ERR2061620.7209358 7001289F:109:CB97UANXX:1:1307:1972:44563/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209359 7001289F:109:CB97UANXX:1:1203:20752:28113/2	R2	-	-	+	-	-	0.345455
ERR2061620.7209360 7001289F:109:CB97UANXX:1:1216:16317:66618/1	R1	+	-	-	-	0.345455	-
ERR2061620.7209361 7001289F:109:CB97UANXX:1:1113:11245:44174/2	R2	-	-	+	-	-	0.302752
ERR2061620.7209362 7001289F:109:CB97UANXX:1:1114:3573:54837/1	R1	-	+	+	-	0.000000	0.000000
ERR2061620.7209363 7001289F:109:CB97UANXX:1:2308:20261:63470/2	R2	-	-	+	-	-	0.345455
ERR2061620.7209364 7001289F:103:C9WFLANXX:4:2303:9043:70075/2	R2	-	-	-	+	-	0.000000
ERR2061620.7209365 7001289F:103:C9WFLANXX:4:1107:16275:54210/1	R1	-	+	-	-	0.125000	-
ERR2061620.7209366 7001289F:109:CB97UANXX:1:1106:4852:59881/1	R1	-	+	+	-	0.000000	0.000000
ERR2061620.7209367 7001289F:109:CB97UANXX:1:2111:12438:34710/1	R1	+	-	-	+	0.166667	0.393443
ERR2061620.7209368 7001289F:109:CB97UANXX:1:2305:6218:35479/1	R1	-	+	+	-	0.000000	0.485149
ERR2061620.7209369 7001289F:109:CB97UANXX:1:1206:12134:65881/1	R1	-	+	+	-	0.142857	0.475000
ERR2061620.7209370 7001289F:109:CB97UANXX:1:2303:15664:64097/1	R1	-	+	+	-	0.000000	0.000000
ERR2061620.7209371 7001289F:109:CB97UANXX:1:2307:10894:84510/1	R1	+	-	-	+	0.345455	0.000000
ERR2061620.7209372 7001289F:103:C9WFLANXX:3:2114:15866:74163/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209373 7001289F:109:CB97UANXX:1:1103:12696:61265/1	R1	+	-	-	+	0.302752	0.182540
ERR2061620.7209374 7001289F:109:CB97UANXX:1:2213:10459:75892/1	R1	+	-	-	+	0.000000	0.000000
ERR2061620.7209375 7001289F:109:CB97UANXX:1:2216:12799:4631/1	R1	+	-	-	-	0.345455	-
ERR2061620.7209376 7001289F:109:CB97UANXX:1:1307:16074:50354/1	R1	+	-	-	-	0.302752	-
ERR2061620.7209377 7001289F:109:CB97UANXX:1:1212:13962:51398/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209378 7001289F:109:CB97UANXX:1:1202:15222:84335/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209379 7001289F:109:CB97UANXX:1:1116:14147:94901/1	R1	+	-	-	-	0.608696	-
ERR2061620.7209380 7001289F:103:C9WFLANXX:3:2116:8677:30293/1	R1	-	+	+	-	0.000000	0.365385
ERR2061620.7209381 7001289F:103:C9WFLANXX:4:1107:6912:65697/1	R1	+	-	-	-	0.759259	-
ERR2061620.7209382 7001289F:109:CB97UANXX:1:1105:4226:3781/1	R1	-	+	+	-	0.000000	0.000000
ERR2061620.7209383 7001289F:109:CB97UANXX:1:2307:15091:78271/1	R1	-	+	+	-	0.000000	0.457944
ERR2061620.7209385 7001289F:103:C9WFLANXX:4:2307:4320:99631/1	R1	+	-	-	-	0.609756	-
ERR2061620.7209386 7001289F:109:CB97UANXX:1:1116:10888:55022/1	R1	+	-	-	-	0.753846	-
ERR2061620.7209387 7001289F:103:C9WFLANXX:3:1305:5712:40388/1	R1	-	+	+	-	0.333333	0.302752
ERR2061620.7209388 7001289F:109:CB97UANXX:1:1110:6645:63387/1	R1	-	+	+	-	0.000000	0.457944
