2024-12-26T17:26:51
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061615.334655 7001289F:109:CB97UANXX:2:1110:20582:100186/1	R1	-	+	-	+	0.526316	0.526316
ERR2061615.335420 7001289F:109:CB97UANXX:2:1309:20511:33878/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.455044 7001289F:109:CB97UANXX:2:2305:3006:71430/1	R1	-	+	-	+	1.000000	1.000000
ERR2061615.1353514 7001289F:109:CB97UANXX:2:1105:3431:59452/1	R1	-	+	-	+	0.777778	0.777778
ERR2061615.2470634 7001289F:109:CB97UANXX:2:1201:15427:43912/1	R1	-	+	-	+	0.736842	0.736842
ERR2061615.3805239 7001289F:109:CB97UANXX:2:1201:3101:39203/1	R1	+	-	+	-	0.515789	0.515789
ERR2061615.3805246 7001289F:109:CB97UANXX:2:1116:5293:6229/1	R1	+	-	+	-	0.518868	0.518868
ERR2061615.3805249 7001289F:109:CB97UANXX:2:1209:3540:62727/1	R1	+	-	+	-	0.345455	0.345455
ERR2061615.3805253 7001289F:109:CB97UANXX:2:1103:5621:94271/1	R1	+	-	+	-	0.500000	0.500000
ERR2061615.3805254 7001289F:109:CB97UANXX:2:2210:7993:96389/1	R1	+	-	+	-	0.446429	0.446429
ERR2061615.3805256 7001289F:109:CB97UANXX:2:2216:16739:2632/1	R1	+	-	+	-	0.446429	0.446429
ERR2061615.3805257 7001289F:109:CB97UANXX:2:2315:15110:79883/1	R1	+	-	+	-	0.302752	0.302752
ERR2061615.3805258 7001289F:109:CB97UANXX:2:2314:12679:69392/1	R1	+	-	+	-	0.891892	0.891892
ERR2061615.3805259 7001289F:109:CB97UANXX:2:2206:10883:3982/1	R1	+	-	+	-	0.446429	0.446429
ERR2061615.3805261 7001289F:109:CB97UANXX:2:2112:1773:50655/1	R1	+	-	+	-	0.446429	0.446429
ERR2061615.3805262 7001289F:109:CB97UANXX:2:2106:15841:100446/1	R1	+	-	+	-	0.446429	0.446429
ERR2061615.3805266 7001289F:109:CB97UANXX:2:1303:19608:53150/1	R1	+	-	+	-	0.000000	0.000000
ERR2061615.3805268 7001289F:109:CB97UANXX:2:1112:1357:64903/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805270 7001289F:109:CB97UANXX:2:1208:3517:61792/1	R1	+	-	+	-	0.471698	0.471698
ERR2061615.3805272 7001289F:109:CB97UANXX:2:1116:5254:28225/1	R1	+	-	+	-	0.471698	0.471698
ERR2061615.3805276 7001289F:109:CB97UANXX:2:2207:5944:19246/1	R1	+	-	+	-	0.898148	0.898148
ERR2061615.3805279 7001289F:109:CB97UANXX:2:1209:3151:72922/1	R1	+	-	+	-	0.320388	0.320388
ERR2061615.3805280 7001289F:109:CB97UANXX:2:1201:3538:93223/1	R1	+	-	+	-	0.000000	0.000000
ERR2061615.3805286 7001289F:109:CB97UANXX:2:2109:14053:76314/1	R1	+	-	+	-	0.413043	0.413043
ERR2061615.3805287 7001289F:109:CB97UANXX:2:2110:6976:45598/1	R1	+	-	+	-	0.302752	0.302752
ERR2061615.3805289 7001289F:109:CB97UANXX:2:2110:4479:96076/1	R1	+	-	+	-	0.302752	0.302752
ERR2061615.3805291 7001289F:109:CB97UANXX:2:2103:16590:43504/1	R1	+	-	+	-	0.457944	0.457944
ERR2061615.3805292 7001289F:109:CB97UANXX:2:1301:13975:75877/1	R1	+	-	+	-	0.345455	0.345455
ERR2061615.3805293 7001289F:109:CB97UANXX:2:1302:7128:94092/1	R1	+	-	+	-	0.302752	0.302752
ERR2061615.3805295 7001289F:109:CB97UANXX:2:1104:3582:60381/1	R1	+	-	+	-	0.413043	0.413043
ERR2061615.3805299 7001289F:109:CB97UANXX:2:2312:16857:53491/1	R1	+	-	+	-	0.345455	0.345455
ERR2061615.3805300 7001289F:109:CB97UANXX:2:2308:20109:61043/1	R1	+	-	+	-	0.345455	0.345455
ERR2061615.3805301 7001289F:109:CB97UANXX:2:2201:12451:101012/1	R1	+	-	+	-	0.000000	0.000000
ERR2061615.3805303 7001289F:109:CB97UANXX:2:1315:9516:50313/1	R1	+	-	+	-	0.302752	0.302752
ERR2061615.3805304 7001289F:109:CB97UANXX:2:1212:5832:60884/1	R1	+	-	+	-	0.345455	0.345455
ERR2061615.3805307 7001289F:109:CB97UANXX:2:1104:5986:28136/1	R1	+	-	+	-	0.000000	0.000000
ERR2061615.3805308 7001289F:109:CB97UANXX:2:2216:9402:85211/1	R1	+	-	+	-	0.135135	0.135135
ERR2061615.3805309 7001289F:109:CB97UANXX:2:2301:17382:18917/1	R1	+	-	+	-	0.302752	0.302752
ERR2061615.3805314 7001289F:109:CB97UANXX:2:1312:14829:52263/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805319 7001289F:109:CB97UANXX:2:2215:10672:60768/1	R1	+	-	+	-	0.000000	0.000000
ERR2061615.3805323 7001289F:109:CB97UANXX:2:1115:17376:40411/1	R1	+	-	+	-	0.000000	0.000000
ERR2061615.3805325 7001289F:109:CB97UANXX:2:2213:2811:49328/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805327 7001289F:109:CB97UANXX:2:2101:9421:60413/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805330 7001289F:109:CB97UANXX:2:1209:20375:50356/1	R1	+	-	+	-	0.000000	0.000000
ERR2061615.3805331 7001289F:109:CB97UANXX:2:2315:15455:20221/1	R1	+	-	+	-	0.676190	0.676190
ERR2061615.3805336 7001289F:109:CB97UANXX:2:1203:3663:48665/1	R1	+	-	+	-	0.362637	0.362637
ERR2061615.3805337 7001289F:109:CB97UANXX:2:1113:8980:61564/1	R1	-	+	-	+	0.555556	0.555556
ERR2061615.3805338 7001289F:109:CB97UANXX:2:1302:13978:25367/1	R1	+	-	+	-	0.433628	0.433628
ERR2061615.3805339 7001289F:109:CB97UANXX:2:2213:12744:78283/1	R1	-	+	-	+	0.393443	0.393443
ERR2061615.3805340 7001289F:109:CB97UANXX:2:2215:5455:93965/1	R1	+	-	+	-	0.345455	0.345455
ERR2061615.3805343 7001289F:109:CB97UANXX:2:2209:12080:76282/1	R1	+	-	+	-	0.345455	0.345455
ERR2061615.3805344 7001289F:109:CB97UANXX:2:2205:3985:30085/1	R1	+	-	+	-	0.436893	0.436893
ERR2061615.3805346 7001289F:109:CB97UANXX:2:1203:2760:74803/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805347 7001289F:109:CB97UANXX:2:1306:5074:79293/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805348 7001289F:109:CB97UANXX:2:1207:7931:90818/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805349 7001289F:109:CB97UANXX:2:1302:21309:54205/1	R1	+	-	+	-	0.500000	0.500000
ERR2061615.3805350 7001289F:109:CB97UANXX:2:2314:5164:98703/1	R1	+	-	+	-	0.457944	0.457944
ERR2061615.3805351 7001289F:109:CB97UANXX:2:1107:2427:96491/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805352 7001289F:109:CB97UANXX:2:2115:12277:18858/1	R1	+	-	+	-	0.387755	0.387755
ERR2061615.3805353 7001289F:109:CB97UANXX:2:2205:14290:57933/1	R1	-	+	-	+	0.132231	0.132231
ERR2061615.3805354 7001289F:109:CB97UANXX:2:1215:12390:11098/1	R1	+	-	+	-	0.433628	0.433628
ERR2061615.3805355 7001289F:109:CB97UANXX:2:1215:10913:57544/1	R1	+	-	+	-	0.471698	0.471698
ERR2061615.3805356 7001289F:109:CB97UANXX:2:1104:16686:50239/1	R1	+	-	+	-	0.345455	0.345455
ERR2061615.3805358 7001289F:109:CB97UANXX:2:1208:17213:23450/1	R1	+	-	+	-	0.000000	0.000000
ERR2061615.3805361 7001289F:109:CB97UANXX:2:2305:13887:58360/1	R1	+	-	+	-	0.441860	0.441860
ERR2061615.3805362 7001289F:109:CB97UANXX:2:2107:16614:64922/1	R1	+	-	+	-	0.471698	0.471698
ERR2061615.3805363 7001289F:109:CB97UANXX:2:1114:17665:31853/1	R1	+	-	+	-	0.457944	0.457944
ERR2061615.3805364 7001289F:109:CB97UANXX:2:2113:13130:10932/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805365 7001289F:109:CB97UANXX:2:2306:10766:55142/1	R1	+	-	+	-	0.345455	0.345455
ERR2061615.3805366 7001289F:109:CB97UANXX:2:1110:7188:42744/1	R1	-	+	-	+	0.478261	0.478261
ERR2061615.3805367 7001289F:109:CB97UANXX:2:1208:14373:68061/1	R1	-	+	-	+	0.071429	0.071429
ERR2061615.3805369 7001289F:109:CB97UANXX:2:1312:4936:35877/1	R1	+	-	+	-	0.674157	0.674157
ERR2061615.3805370 7001289F:109:CB97UANXX:2:1314:8420:59557/1	R1	-	+	-	+	0.416667	0.416667
ERR2061615.3805374 7001289F:109:CB97UANXX:2:2208:20166:87652/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805377 7001289F:109:CB97UANXX:2:1114:19390:27971/1	R1	+	-	+	-	0.000000	0.000000
ERR2061615.3805379 7001289F:109:CB97UANXX:2:1106:20860:4146/1	R1	+	-	+	-	0.500000	0.500000
ERR2061615.3805380 7001289F:109:CB97UANXX:2:2212:1848:47499/1	R1	-	+	-	+	0.500000	0.500000
ERR2061615.3805381 7001289F:109:CB97UANXX:2:2312:1315:41492/1	R1	-	+	-	+	0.344000	0.344000
ERR2061615.3805382 7001289F:109:CB97UANXX:2:1309:21256:79189/1	R1	+	-	+	-	0.000000	0.000000
ERR2061615.3805384 7001289F:109:CB97UANXX:2:1108:7694:49853/1	R1	-	+	-	+	0.708333	0.708333
ERR2061615.3805386 7001289F:109:CB97UANXX:2:1208:19022:72390/1	R1	-	+	-	+	0.093750	0.093750
ERR2061615.3805388 7001289F:109:CB97UANXX:2:1108:1172:28294/1	R1	-	+	-	+	0.500000	0.500000
ERR2061615.3805390 7001289F:109:CB97UANXX:2:1210:3722:63188/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805392 7001289F:109:CB97UANXX:2:1211:9453:49559/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805393 7001289F:109:CB97UANXX:2:2205:17737:52520/1	R1	-	+	-	+	0.260870	0.260870
ERR2061615.3805394 7001289F:109:CB97UANXX:2:2207:5607:47626/1	R1	-	+	-	+	0.377778	0.377778
ERR2061615.3805403 7001289F:109:CB97UANXX:2:1210:18249:10456/1	R1	-	+	-	+	0.000000	0.000000
ERR2061615.3805404 7001289F:109:CB97UANXX:2:2115:12575:49874/1	R1	-	+	-	+	0.975610	0.975610
ERR2061615.3805408 7001289F:109:CB97UANXX:2:1207:15748:33325/1	R1	-	+	-	+	0.000000	0.000000
